代號,名稱,商品數量,權重
2330,台積電,475319215,59.36
2454,聯發科,28621848,6.21
2308,台達電,37788348,4.74
2317,鴻海,237377355,3.34
3711,日月光投控,64072338,1.92
2383,台光電,5586374,1.51
2345,智邦,9669646,1.40
3037,欣興,25969830,1.25
2303,聯電,226246596,1.20
2891,中信金,344751787,1.07
2382,廣達,51422602,0.99
2360,致茂,7194327,0.95
3017,奇鋐,6320731,0.90
2881,富邦金,161979441,0.86
2882,國泰金,181754945,0.80
2885,元大金,211720010,0.67
2327,國巨,30135871,0.66
6669,緯穎,2009130,0.60
2887,台新新光金,446522284,0.59
2412,中華電,74079694,0.56
2884,玉山金,297933985,0.54
2368,金像電,6682152,0.52
2357,華碩,13257238,0.51
2886,兆豐金,229272813,0.51
1303,南亞,95646379,0.49
2301,光寶科,37706029,0.47
3231,緯創,59383351,0.46
3661,世芯-KY,1542505,0.46
2890,永豐金,246223067,0.42
2344,華邦電,60572540,0.40
1216,統一,95585206,0.39
2883,凱基金,306638191,0.39
7769,鴻勁,1107620,0.39
2408,南亞科,21801970,0.37
3653,健策,1636231,0.37
2449,京元電子,21112822,0.35
2892,第一金,210641017,0.35
2059,川湖,1102235,0.34
2880,華南金,180592207,0.34
3008,大立光,1863680,0.27
5880,合庫金,203134190,0.26
2603,長榮,21092712,0.25
2395,研華,8913578,0.24
2002,中鋼,216976515,0.23
1301,台塑,81443177,0.22
4904,遠傳,34432976,0.19
3045,台灣大,27438850,0.17
2207,和泰車,5432538,0.14
6919,康霈,18693813,0.11
6505,台塑化,23112964,0.07
